idx,rsmi,psmi,ea,dh
0,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]1([H:7])([H:8])/[C:2](=[N:3]\[H:9])[N:6]1[N:5]=[O:4],77.68928657,45.53207342
1,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2](=[N:3][O-:4])[N+:6]#[N:5])([H:7])([H:8])[H:9],45.36770964,19.77423547
2,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1](=[C:2]1[N-:3][O+:4]=[N:5][N:6]1[H:9])([H:7])[H:8],84.71303516,54.58419693
3,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]#[N:3])([H:7])([H:8])[H:9].[O:4]=[N+:5]=[N-:6],24.03598171,-15.01199693
4,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1](=[C:2]1[N:3]([H:8])[O:4][N:5]=[N:6]1)([H:7])[H:9],77.67989052,34.33120504
5,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],67.77916604,21.25240197
6,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,60.26785281,20.54134623
7,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],64.85730071,8.084618334
8,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1](=[O:2])([H:6])[H:7].[C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:8])([H:9])[H:10],79.70666752,2.774606533
9,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:4]([O:5][H:13])([H:11])[H:12])([H:6])([H:7])[H:8].[C:3]([H:9])[H:10],88.07835354,82.55025634
