idx,rsmi,psmi,ea,dh
0,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([C:2]([N:3]=[O:4])=[N+:6]=[N-:5])([H:7])([H:8])[H:9],48.6594840938652,25.8450911920847
1,[C:1]([c:2]1[n:3][o:4][n:5][n:6]1)([H:7])([H:8])[H:9],[C:1]([N:3]=[C:2]=[N:6][N:5]=[O:4])([H:7])([H:8])[H:9],74.2078783503365,25.3575058893897
2,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]1([H:6])([H:7])[O:2][C:3]([H:9])([H:10])[C:4]1([H:11])[H:12].[O:5]([H:8])[H:13],102.656627519415,12.050720266176699
3,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]1([H:9])([H:10])[C:4]([H:11])([H:12])[O:5]1,76.8302789832605,22.023014277994104
4,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][H:13])([H:6])([H:7])[H:8].[C:3]([C:4](=[O:5])[H:12])([H:9])([H:10])[H:11],72.1854273755491,-4.89695209132169
5,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([H:6])[H:7].[O:2]([C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])[H:8],87.37924596777941,84.3420224553623
6,[C:1]([O:2][C:3]([C:4]([O:5][H:13])([H:11])[H:12])([H:9])[H:10])([H:6])([H:7])[H:8],[C:1]([O:2][C:3](=[C:4]([H:11])[H:12])[H:10])([H:6])([H:7])[H:8].[O:5]([H:9])[H:13],71.7133166620166,6.39740378304716
7,[O:1]=[C:2]([N:3]=[N+:4]=[N-:5])[H:6],[C:2](#[N:3])[H:6].[O:1]=[N+:5]=[N-:4],56.206148745605795,13.799164985187199
8,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1]1([H:7])([H:8])[C@:2]([C:3]([H:10])([H:11])[H:12])([H:9])[C:6]([H:15])([H:16])[C:5]([H:13])([H:14])[C:4]1,75.92748564067429,51.8071330443987
9,[C:1]1([H:7])([H:8])[C@@:2]2([H:9])[C:3]([H:10])([H:11])[C@:4]1([H:12])[C:5]([H:13])([H:14])[C:6]2([H:15])[H:16],[C:1](=[C:4]([C:5]([C:6]([C:2](=[C:3]([H:10])[H:11])[H:9])([H:15])[H:16])([H:13])[H:14])[H:12])([H:7])[H:8],78.8759781401856,8.47041029208603
